FID,Autonum,Ref_CODE,CONTINENT,REGION,WHO_region,ISO_CTRY,ADM0_NAME,ADM0_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME1,ADM2_NAME2,ADM2_CODE1,ADM2_CODE2,District,ADM_Level,Site_name,Name_Posit,GEORELIABI,Urbanizat,Latitude,Longitude,Cartograph,PoT,Coverage,Trial_Cont,Period,Year_start,Year_end,month,N_rounds,Method_0,Method_1,Method_2,BS_smear,BS_ICT,BS_other,Day_Night,LF_species,Sex,Age_Range,Age_start,Age_end,pop_Mf,np_Mf,prev_Mf,density,mfload_met,popMf_Filt,npMf_Filt,prev_Filt,pop_ICT,np_ICT,prev_ICT,pop_others,np_others,prev_other,prev_high,pop_hydroc,np_hydroc,pop_lymph,np_lymph,pop_clinic,np_clinic,Source_dat,Source_d_1,Source_d_2,Source_d_3,Reference,Notes,Notes_JC,Status,Reviewed,Approval,Occurrence,Source_d_4,Yr_Start,Yr_End,Poverty,Temp,AnnRain,AridityInd,LANDCOV,lnLF,landcov14,landcov2030,landcov4060,landcov110120130,landcov170
11,3098,LF3098NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Kogi,2228,Kabba Bunu,Kabba Bunu,NGP023005000000000000,NGP023005000000000000,Health,Location,Jiro,Giro,2,,8.25,6.25,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Giro,OK,Yes,Yes,0,NGA0007LF,1990,1991,0.131925419,25.9,1204,6891,60,0,0,0,1,0,0
12,3099,LF3099NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Benue,2215,Konshisha,Konshisha,NGP007008000000000000,NGP007008000000000000,Health,Location,Sawe,Asawe,2,,7.1202,8.5099,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,104,2,0.019,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have a location called Asawe,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.4043859839,26.8,1547,8962,130,-3.9633163,0,0,0,1,0
13,3100,LF3100NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bayelsa,65700,Southern Ijaw,Southern Ijaw,NGP006001000000000000,NGP006001000000000000,Health,Location,Dafatuwo,Paratubo,4,,4.783117,5.847342,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,75,4,0.053,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Paratubo,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.607704401,26.6,3301,22117,40,-2.937463365,0,0,1,0,0
14,3101,LF3101NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Kano,2225,Wudil,Wudil,NGP020027000000000000,NGP020027000000000000,Health,Location,Indabo,Indabo,1,,11.738008,8.790924,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,211,10,0.047,0,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.3433151245,26.4,787,3952,20,-3.057607677,0,1,0,0,0
16,3103,LF3103NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Oyo,2235,Odeda,Odeda,NGP028008000000000000,NGP028008000000000000,Health,Location,Hakatafi,Bakatari,4,,7.4,3.7,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,109,1,0.009,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Bakatari,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.3146027327,26.5,1268,7684,130,-4.710530702,0,0,0,1,0
17,3104,LF3104NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Dukku,Dukku,NGP016008000000000000,NGP016008000000000000,Health,Location,Yautare,Yautare,1,,10.883333,10.583333,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,85,2,0.024,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.4286216795,25.9,867,4365,20,-3.729701449,0,1,0,0,0
18,3105,LF3105NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Darazo,Darazo,NGP005017000000000000,NGP005017000000000000,Health,Location,Tauya,Tauya,1,,10.8,10.533333,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,197,1,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.505846858,26.1,876,4399,20,-5.298317367,0,1,0,0,0
19,3106,LF3106NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Adamawa,2211,Gombi,Gombi,NGP002017000000000000,NGP002017000000000000,Health,Location,Wushi,Wushi,1,,10.123157,12.402435,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,57,2,0.035,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,NGA0007LF,"Anosike & Onwuliri, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0007LF,1990,1991,0.6257146597,25.1,924,4860,20,-3.352407217,0,1,0,0,0
20,3107,LF3107NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Yobe,2240,Fika,Fika,NGP036012000000000000,NGP036012000000000000,Health,Location,Kurmi,Kurmi,1,Rural,11.573,11.2612,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,308,5,0.016,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.7401897311,24.7,732,3751,14,-4.135166557,1,0,0,0,0
21,3108,LF3108NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Gombe,65704,Shongom,Shongom,NGP016003000000000000,NGP016003000000000000,Health,Location,Gwandabi,Gwaddabi,2,Rural,9.683333,11.133333,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,126,2,0.016,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Gwaddabi,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.2025211304,26.4,957,4943,14,-4.135166557,1,0,0,0,0
22,3109,LF3109NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Osun,2234,Aiyedade Ajilo,Aiyedade Ajilo,NGP030028000000000000,NGP030028000000000000,Health,Location,Bashe,Base,2,Rural,7.333333,4.316667,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,110,3,0.027,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Base,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.1749628037,26.4,1384,8484,40,-3.611918413,0,0,1,0,0
23,3110,LF3110NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Zamfara,65710,Bungudu,Bungudu,NGP037006000000000000,NGP037006000000000000,Health,Location,Gada,Gada,1,Rural,12.288652,6.480354,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,388,3,0.008,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.6267402768,26.8,846,4264,30,-4.828313737,0,1,0,0,0
24,3111,LF3111NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Borno,2216,Biu,Biu,NGP008007000000000000,NGP008007000000000000,Health,Location,Tabula,Tabura,2,Rural,10.620295,12.167989,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,199,4,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Tabura,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.0715555325,23.8,883,4721,20,-3.912023005,0,1,0,0,0
25,3112,LF3112NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Taraba,2239,Ardo-Kola,Ardo-Kola,NGP035006000000000000,NGP035006000000000000,Health,Location,Tippi,Tapi,3,Rural,8.766667,11.333333,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,219,1,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,I have found a location called Tapi,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.6194753647,27.3,1077,5591,20,-5.298317367,0,1,0,0,0
26,3113,LF3113NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Borno,2216,Biu,Biu,NGP008007000000000000,NGP008007000000000000,Health,Location,Bima,Bima,1,Rural,10.848622,11.865289,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,98,2,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.2409059107,25.2,817,4218,20,-3.912023005,0,1,0,0,0
27,3114,LF3114NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Bauchi,65699,Gunjuwa,Gunjuwa,NGP005013000000000000,NGP005013000000000000,Health,Location,Bunga,Bunga,1,Rural,11.066667,9.633333,AFRO,Preintervention,No,No,before 2000,1990,1991,July/March,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,0,99,88,2,0.023,0,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,NGA0008LF,"Anosike, 1994",Journal,1994,Lindsay/Thomas 2000,Clinical data not available at community level,,OK,Yes,Yes,1,NGA0008LF,1990,1991,0.5685933828,26.3,899,4495,20,-3.772261063,0,1,0,0,0
28,3115,LF3115NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Imo,2222,Ohafia,Ohafia,NGP019001000000000000,NGP019001000000000000,Health,Location,Isiugwu,Isiugwu,1,Rural,5.55,7.816667,AFRO,Preintervention,No,No,before 2000,1984,1985,,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,117,10,0.085,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0,NGA0004LF,"Udonsi, 1988",Journal,1988,Lindsay/Thomas 2000,Knott concentration technique was developed for LF diagnosis previously to thick film,Clinical data are showed for all villages,OK,Yes,Yes,1,NGA0004LF,1984,1985,0.1842512041,26.8,2169,13564,30,-2.465104022,0,1,0,0,0
29,3116,LF3116NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Imo,2222,Bende,Bende,NGP019009000000000000,NGP019009000000000000,Health,Location,Ndi Iwo,Ndi Iwo,1,Rural,5.5,7.683333,AFRO,Preintervention,No,No,before 2000,1984,1985,,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,96,7,0.073,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0,0,0,NGA0004LF,"Udonsi, 1988",Journal,1988,Lindsay/Thomas 2000,Knott concentration technique was developed for LF diagnosis previously to thick film,Clinical data are showed for all villages,OK,Yes,Yes,1,NGA0004LF,1984,1985,0.0922578722,26.6,2170,13673,40,-2.617295838,0,0,1,0,0
30,3117,LF3117NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Imo,2222,Ini,Ini,NGP003021000000000000,NGP003021000000000000,Health,Location,Mbauzo,Itu Mbauzo,2,Rural,5.496913,7.700878,AFRO,Preintervention,No,No,before 2000,1984,1985,,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,110,8,0.073,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0,0,0,NGA0004LF,"Udonsi, 1988",Journal,1988,Lindsay/Thomas 2000,Knott concentration technique was developed for LF diagnosis previously to thick film,I have found a location called Itu Mbauzo,OK,Yes,Yes,1,NGA0004LF,1984,1985,0.1191581413,26.5,2176,13694,30,-2.617295838,0,1,0,0,0
31,3118,LF3118NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Imo,2222,Arochukwu,Arochukwu,NGP019008000000000000,NGP019008000000000000,Health,Location,Ndi Okereke,Ndi Okereke,1,Rural,5.483333,7.8,AFRO,Preintervention,No,No,before 2000,1984,1985,,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,116,11,0.095,0,0,0,0,0,0,0,0,0,0,0,0.095,0,0,0,0,0,0,NGA0004LF,"Udonsi, 1988",Journal,1988,Lindsay/Thomas 2000,Knott concentration technique was developed for LF diagnosis previously to thick film,Clinical data are showed for all villages,OK,Yes,Yes,1,NGA0004LF,1984,1985,0.2137895823,26.9,2198,13679,30,-2.353878387,0,1,0,0,0
32,3119,LF3119NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Imo,2222,Arochukwu,Arochukwu,NGP019008000000000000,NGP019008000000000000,Health,Location,Idima,Idima,1,Rural,5.55,7.7,AFRO,Preintervention,No,No,before 2000,1984,1985,,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,152,16,0.105,0,0,0,0,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,NGA0004LF,"Udonsi, 1988",Journal,1988,Lindsay/Thomas 2000,Knott concentration technique was developed for LF diagnosis previously to thick film,Clinical data are showed for all villages,OK,Yes,Yes,1,NGA0004LF,1984,1985,0.0796198398,26.4,2150,13585,40,-2.253794929,0,0,1,0,0
33,3120,LF3120NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Imo,2222,Awka South,Awka South,NGP004015000000000000,NGP004015000000000000,Health,Location,Ndi Agwu,Ndiagu,2,Rural,6.1819,7.1143,AFRO,Preintervention,No,No,before 2000,1984,1985,,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,118,8,0.068,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0,0,0,NGA0004LF,"Udonsi, 1988",Journal,1988,Lindsay/Thomas 2000,Knott concentration technique was developed for LF diagnosis previously to thick film,I have found a location called Ndiagu,OK,Yes,Yes,1,NGA0004LF,1984,1985,0.0695685297,27.2,1850,11362,130,-2.688247574,0,0,0,1,0
34,3121,LF3121NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Imo,2222,Arochukwu,Arochukwu,NGP019008000000000000,NGP019008000000000000,Health,Location,Ndi Oji,Ndi Oji,1,Rural,5.5,7.783333,AFRO,Preintervention,No,No,before 2000,1984,1985,,0,Mapping Survey,Parasitological,Blood smear,20,0,0,Day/Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,136,16,0.118,0,0,0,0,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,NGA0004LF,"Udonsi, 1988",Journal,1988,Lindsay/Thomas 2000,Knott concentration technique was developed for LF diagnosis previously to thick film,Clinical data are showed for all villages,OK,Yes,Yes,1,NGA0004LF,1984,1985,0.1884688288,26.9,2185,13658,30,-2.137070655,0,1,0,0,0
35,3124,LF3124NG,Africa,Western Africa,AFRO,NG,Nigeria,182,Rivers,65708,Ahoada East,Ahoada East,NGP033001000000000000,NGP033001000000000000,Health,Location,Ahoada,Ahoada,1,Rural,5.083333,6.65,AFRO,Preintervention,No,No,before 2000,1983,1985,,0,Mapping Survey,Clinical/Parasitological,Clinical/Blood smear,20,0,0,Night,Wuchereria bancrofti,M/F,Adults/Children,1,99,360,8,0.022,0,0,0,0,0,0,0,0,0,0,0,0.022,0,2,360,3,0,0,NGA0003LF,"Udonsi, 1986",Journal,1986,Lindsay/Thomas 2000,,,OK,Yes,Yes,1,NGA0003LF,1983,1985,0.0464051254,26.6,2501,16005,40,-3.816712826,0,0,1,0,0
